catalogue_id,status,block,metric,n_models,blind_ids,near_duplicate_count,block_recurrence_count,metric_recurrence_count,source_type_recurrence_count,near_duplicate_ids
C1473,support_watch,freeflow_form,euclidean,3,M021;M033;M043,2,1,1,1,C1368;C1473
C1474,support_watch,freeflow_form,euclidean,3,M035;M050;M051,2,1,1,1,C1200;C1474
C1475,support_watch,posture,euclidean,5,M012;M013;M021;M024;M076,3,1,1,1,C0227;C1205;C1475
C1476,support_watch,posture,euclidean,3,M043;M044;M082,2,1,1,1,C1328;C1476
C1477,support_watch,v1_markers,euclidean,4,M004;M013;M059;M076,3,1,1,1,C1329;C1477;C1478
C1478,support_watch,v1_markers,euclidean,3,M004;M013;M076,2,1,1,1,C1477;C1478
C1479,support_watch,v1_markers,euclidean,8,M030;M047;M052;M056;M057;M058;M060;M083,8,1,1,1,C1176;C1250;C1251;C1479;C1558;C1571;C1753;C1765
C1480,watchlist,v1_markers,euclidean,3,M035;M036;M038,4,1,1,2,C1407;C1460;C1480;C1481
C1481,support_watch,v1_markers,euclidean,3,M035;M036;M038,4,1,1,2,C1407;C1460;C1480;C1481
C1482,support_watch,values_disclosure,euclidean,9,M015;M040;M046;M047;M049;M050;M052;M053;M054,4,1,1,1,C1256;C1291;C1395;C1482
C1483,support_watch,values_disclosure,euclidean,5,M049;M059;M060;M082;M083,5,1,1,1,C0681;C1096;C1442;C1483;C1484
C1486,support_watch,values_wishes,euclidean,8,M003;M030;M045;M052;M072;M073;M075;M079,3,1,1,1,C1028;C1296;C1486
C1487,support_watch,values_wishes,euclidean,10,M027;M031;M034;M043;M047;M056;M057;M079;M081;M082,6,1,1,1,C1487;C1549;C1668;C1695;C1720;C1739
C1488,support_watch,values_wishes,euclidean,8,M030;M035;M037;M038;M049;M050;M051;M078,5,1,1,1,C1235;C1322;C1488;C1498;C1510
C1489,support_watch,freeflow_form,euclidean,8,M003;M012;M021;M032;M033;M043;M071;M081,6,1,1,1,C1156;C1277;C1366;C1419;C1489;C1602
C1490,support_watch,freeflow_form,euclidean,4,M016;M053;M057;M082,11,1,1,3,C0075;C0088;C0096;C0099;C1401;C1402;C1490;C1502;C1524;C1525;C1553
C1491,support_watch,v1_markers,euclidean,7,M030;M031;M032;M033;M034;M037;M038,6,1,1,1,C1078;C1179;C1249;C1330;C1459;C1491
C1492,support_watch,values_cross_surface,euclidean,7,M036;M045;M046;M047;M049;M082;M083,5,1,1,1,C0987;C1080;C1081;C1492;C1637
C1495,support_watch,values_owned,euclidean,6,M015;M032;M034;M035;M036;M053,4,1,1,1,C1101;C1149;C1495;C1537
C1496,support_watch,values_wishes,euclidean,10,M005;M027;M031;M034;M047;M051;M056;M057;M081;M082,9,1,1,1,C1496;C1549;C1562;C1609;C1664;C1668;C1695;C1720;C1739
C1497,support_watch,values_wishes,euclidean,5,M024;M025;M036;M051;M052,3,1,1,1,C1339;C1497;C1666
C1498,support_watch,values_wishes,euclidean,6,M030;M035;M037;M038;M050;M051,7,1,1,1,C1298;C1430;C1488;C1498;C1510;C1539;C1589
C1499,support_watch,values_wishes,euclidean,8,M034;M047;M051;M052;M056;M057;M081;M082,5,1,1,1,C1274;C1429;C1431;C1499;C1520
C1500,support_watch,freeflow_form,euclidean,10,M003;M009;M012;M016;M032;M033;M043;M053;M057;M081,3,1,1,1,C1500;C1550;C1733
C1501,support_watch,freeflow_form,euclidean,4,M010;M038;M044;M051,2,1,1,1,C1160;C1501
C1502,watchlist,freeflow_form,euclidean,3,M016;M053;M057,6,1,1,2,C1402;C1490;C1502;C1524;C1525;C1553
C1504,support_watch,posture,euclidean,3,M011;M047;M053,2,1,1,1,C0936;C1504
C1505,support_watch,v1_markers,euclidean,3,M031;M033;M072,2,1,1,1,C1285;C1505
C1506,support_watch,values_disclosure,euclidean,10,M002;M015;M022;M039;M040;M047;M050;M051;M052;M080,4,1,1,1,C1287;C1394;C1506;C1716
C1507,support_watch,values_disclosure,euclidean,3,M011;M015;M022,3,1,1,1,C1263;C1315;C1507
C1508,support_watch,values_disclosure,euclidean,7,M045;M049;M050;M059;M078;M082;M083,8,1,1,1,C1354;C1411;C1426;C1508;C1582;C1626;C1670;C1717
C1510,support_watch,values_wishes,euclidean,7,M030;M035;M037;M038;M049;M050;M051,8,1,1,1,C1235;C1322;C1430;C1488;C1498;C1510;C1539;C1589
C1511,support_watch,posture,euclidean,3,M011;M022;M038,2,1,1,1,C1243;C1511
C1512,support_watch,values_owned,euclidean,3,M003;M004;M024,2,1,1,1,C1333;C1512
C1514,support_watch,values_owned,euclidean,9,M025;M047;M052;M053;M058;M059;M060;M082;M083,7,1,1,1,C1102;C1380;C1445;C1446;C1467;C1514;C1650
C1515,support_watch,values_owned,euclidean,10,M043;M044;M052;M053;M058;M059;M060;M078;M082;M083,7,1,1,1,C1445;C1515;C1516;C1585;C1650;C1707;C1727
